occurrence_id,occurrence_identifier
89157,taxa_inventory_occ_89157
89158,taxa_inventory_occ_89158
89159,taxa_inventory_occ_89159
89160,taxa_inventory_occ_89160
89161,taxa_inventory_occ_89161
89162,taxa_inventory_occ_89162
89163,taxa_inventory_occ_89163
89164,taxa_inventory_occ_89164
89165,taxa_inventory_occ_89165
89166,taxa_inventory_occ_89166
89167,taxa_inventory_occ_89167
89168,taxa_inventory_occ_89168
89169,taxa_inventory_occ_89169
89170,taxa_inventory_occ_89170
89171,taxa_inventory_occ_89171
89172,taxa_inventory_occ_89172
89173,taxa_inventory_occ_89173
89174,taxa_inventory_occ_89174
89175,taxa_inventory_occ_89175
89176,taxa_inventory_occ_89176
89177,taxa_inventory_occ_89177
89178,taxa_inventory_occ_89178
89179,taxa_inventory_occ_89179
89180,taxa_inventory_occ_89180
89181,taxa_inventory_occ_89181
89182,taxa_inventory_occ_89182
89183,taxa_inventory_occ_89183
89184,taxa_inventory_occ_89184
89193,taxa_inventory_occ_89193
89194,taxa_inventory_occ_89194
89195,taxa_inventory_occ_89195
89196,taxa_inventory_occ_89196
89197,taxa_inventory_occ_89197
89198,taxa_inventory_occ_89198
89199,taxa_inventory_occ_89199
89200,taxa_inventory_occ_89200
89201,taxa_inventory_occ_89201
89202,taxa_inventory_occ_89202
89203,taxa_inventory_occ_89203
89192,taxa_inventory_occ_89192
89191,taxa_inventory_occ_89191
89190,taxa_inventory_occ_89190
89189,taxa_inventory_occ_89189
89188,taxa_inventory_occ_89188
89187,taxa_inventory_occ_89187
89186,taxa_inventory_occ_89186
89185,taxa_inventory_occ_89185
89204,taxa_inventory_occ_89204
89205,taxa_inventory_occ_89205
89206,taxa_inventory_occ_89206
89207,taxa_inventory_occ_89207
89208,taxa_inventory_occ_89208
89209,taxa_inventory_occ_89209
89210,taxa_inventory_occ_89210
89211,taxa_inventory_occ_89211
89212,taxa_inventory_occ_89212
89213,taxa_inventory_occ_89213
89214,taxa_inventory_occ_89214
89215,taxa_inventory_occ_89215
89216,taxa_inventory_occ_89216
89217,taxa_inventory_occ_89217
89218,taxa_inventory_occ_89218
89219,taxa_inventory_occ_89219
89220,taxa_inventory_occ_89220
89221,taxa_inventory_occ_89221
89222,taxa_inventory_occ_89222
89223,taxa_inventory_occ_89223
89224,taxa_inventory_occ_89224
89225,taxa_inventory_occ_89225
89226,taxa_inventory_occ_89226
89227,taxa_inventory_occ_89227
89228,taxa_inventory_occ_89228
89229,taxa_inventory_occ_89229
89230,taxa_inventory_occ_89230
89231,taxa_inventory_occ_89231
89232,taxa_inventory_occ_89232
89233,taxa_inventory_occ_89233
89234,taxa_inventory_occ_89234
89235,taxa_inventory_occ_89235
89236,taxa_inventory_occ_89236
89237,taxa_inventory_occ_89237
89238,taxa_inventory_occ_89238
89239,taxa_inventory_occ_89239
89240,taxa_inventory_occ_89240
89241,taxa_inventory_occ_89241
89242,taxa_inventory_occ_89242
89243,taxa_inventory_occ_89243
89244,taxa_inventory_occ_89244
89245,taxa_inventory_occ_89245
89246,taxa_inventory_occ_89246
89247,taxa_inventory_occ_89247
89248,taxa_inventory_occ_89248
89249,taxa_inventory_occ_89249
89250,taxa_inventory_occ_89250
89251,taxa_inventory_occ_89251
89252,taxa_inventory_occ_89252
89253,taxa_inventory_occ_89253
89254,taxa_inventory_occ_89254
89255,taxa_inventory_occ_89255
89256,taxa_inventory_occ_89256
89257,taxa_inventory_occ_89257
89258,taxa_inventory_occ_89258
89259,taxa_inventory_occ_89259
89260,taxa_inventory_occ_89260
89261,taxa_inventory_occ_89261
89262,taxa_inventory_occ_89262
89263,taxa_inventory_occ_89263
89264,taxa_inventory_occ_89264
89265,taxa_inventory_occ_89265
89266,taxa_inventory_occ_89266
89267,taxa_inventory_occ_89267
89268,taxa_inventory_occ_89268
89269,taxa_inventory_occ_89269
89270,taxa_inventory_occ_89270
89271,taxa_inventory_occ_89271
89272,taxa_inventory_occ_89272
89273,taxa_inventory_occ_89273
89274,taxa_inventory_occ_89274
89275,taxa_inventory_occ_89275
89276,taxa_inventory_occ_89276
89277,taxa_inventory_occ_89277
89278,taxa_inventory_occ_89278
89279,taxa_inventory_occ_89279
89280,taxa_inventory_occ_89280
89281,taxa_inventory_occ_89281
89282,taxa_inventory_occ_89282
89283,taxa_inventory_occ_89283
89284,taxa_inventory_occ_89284
89285,taxa_inventory_occ_89285
89286,taxa_inventory_occ_89286
89287,taxa_inventory_occ_89287
89288,taxa_inventory_occ_89288
89289,taxa_inventory_occ_89289
89290,taxa_inventory_occ_89290
89291,taxa_inventory_occ_89291
89292,taxa_inventory_occ_89292
89293,taxa_inventory_occ_89293
89294,taxa_inventory_occ_89294
89295,taxa_inventory_occ_89295
89296,taxa_inventory_occ_89296
89297,taxa_inventory_occ_89297
89298,taxa_inventory_occ_89298
89299,taxa_inventory_occ_89299
89300,taxa_inventory_occ_89300
89301,taxa_inventory_occ_89301
89302,taxa_inventory_occ_89302
89303,taxa_inventory_occ_89303
89304,taxa_inventory_occ_89304
89305,taxa_inventory_occ_89305
89306,taxa_inventory_occ_89306
89307,taxa_inventory_occ_89307
89308,taxa_inventory_occ_89308
